time,accel x,accel y,accel z,gryo x,gyro y,gyro z
1515642475772,-1.5409851,4.2472534,9.860825,-0.31800842,0.6082306,1.1292725
1515642475877,-0.25125122,3.2063751,8.743378,0.09857178,0.9625244,1.1292725
1515642475979,-1.2801666,1.2562256,7.578064,-0.09687805,0.5190277,1.3919373
1515642476084,0.36131287,2.3377838,7.470398,-0.18240356,0.08654785,1.2893219
1515642476189,-0.009567261,2.8091736,9.930222,-0.3058014,-0.063705444,0.9374695
1515642476293,0.01675415,4.646866,9.485153,-0.23370361,-0.027053833,0.41090393
1515642476402,0.70588684,4.2831573,9.238693,-0.27770996,-0.23962402,0.24475098
1515642476506,0.39720154,2.1511536,8.200211,0.63612366,0.71694946,0.8446045
1515642476610,2.629715,2.3904266,7.829315,0.482193,0.09877014,0.21662903
1515642476714,1.3710938,2.5770721,7.939392,0.30503845,0.2844696,0.24230957
1515642476817,0.91166687,3.7519531,8.927628,-0.04434204,0.06700134,0.123794556
1515642476920,-0.095718384,4.060623,8.236099,0.022827148,0.23191833,0.18243408
1515642477029,-0.6197357,4.7808533,8.271988,-0.3229065,0.07312012,0.31193542
1515642477133,-0.2033844,3.6131592,14.258835,-0.17630005,0.40907288,0.5648346
1515642477239,-1.1198425,2.4550323,9.765106,0.15353394,0.34555054,0.9680023
1515642477340,-0.45942688,1.4524384,8.415558,0.03627014,0.2331543,1.3235321
1515642477442,0.22253418,1.7539368,8.394028,-0.18852234,0.5642395,1.1756897
1515642477544,-0.21057129,2.0650024,8.645264,-0.15063477,0.3199005,0.8702698
1515642477647,-0.52163696,3.3092804,8.523239,0.0032806396,0.3040161,0.5843811
1515642477749,0.050247192,4.594223,12.626923,-0.3058014,0.36387634,0.3559265
1515642477851,-0.23928833,1.4356995,14.555542,-0.81648254,1.3217163,-0.15719604
1515642477955,2.6967163,2.6488495,8.377274,1.1174774,-0.37156677,0.541626
1515642478057,-0.7776642,0.48812866,9.310471,-0.16285706,0.4640503,4.27E-04
1515642478159,-0.07896423,2.6943207,7.7240295,0.07170105,-0.03805542,0.36447144
1515642478262,-0.54556274,3.5772705,8.250458,-0.3363495,0.079208374,0.270401
1515642478366,-0.51924133,4.0989075,11.203201,-0.005264282,-0.12234497,0.4377594
1515642478468,-0.29431152,3.0173492,15.1944275,-0.002822876,-0.31904602,0.5196228
1515642478570,-0.87098694,2.4837494,10.387238,0.08634949,0.2844696,0.64424133
1515642478676,-1.5003052,1.1724854,7.463211,0.27816772,0.08898926,0.8213959
1515642478782,-0.4857483,2.5531464,7.1521454,-0.15797424,0.25271606,0.62835693
1515642478885,-0.4737854,3.4121704,8.372482,-0.13598633,-1.68E-04,0.26672363
1515642478989,-0.9954071,3.4504547,9.939789,-0.106658936,0.18673706,0.10913086
1515642479091,0.07417297,4.3262177,10.758133,0.21342468,0.41763306,0.15066528
1515642479195,-1.2993011,2.6057892,9.506683,-0.13598633,0.8366852,-0.021575928
1515642479298,0.36610413,2.445465,9.229111,0.14744568,-0.051483154,0.270401
1515642479406,-0.53359985,2.371292,8.621338,0.024047852,0.11953735,0.6027069
1515642479508,-0.58384705,2.9838562,8.549561,-0.05290222,0.04135132,0.6503601
1515642479614,-0.32302856,3.6969147,9.322433,0.054595947,0.30523682,1.0058899
1515642479716,-0.7034912,4.3166504,9.870392,-0.11643982,0.4933777,0.78230286
1515642479820,-0.2632141,3.8045807,13.344772,-0.110321045,-0.13334656,0.5489502
1515642479931,-1.7611237,2.0075836,9.1453705,0.05947876,0.24659729,1.0645142
1515642480036,-0.5766754,2.0075836,8.8701935,-0.018707275,-0.27262878,1.2661133
1515642480138,-0.550354,2.2205353,8.685944,-0.27038574,0.40786743,1.1903687
1515642480244,0.062210083,2.9001007,9.501892,-0.002822876,0.31378174,0.9900055
1515642480347,0.9308014,3.9577332,9.832108,0.37223816,0.17817688,0.46099854
1515642480452,1.2945099,4.4578247,9.671783,-0.26182556,-0.22129822,-0.17308044
1515642480555,-0.79441833,2.1942139,7.422531,0.4382019,0.70106506,0.38279724
1515642480660,1.3974152,3.172882,8.106888,0.5188446,-0.1687622,0.22763062
1515642480764,-0.54556274,2.2253265,7.9537354,0.21463013,0.18917847,0.2899475
1515642480868,-0.71066284,3.4384918,7.554138,-0.23249817,0.30033875,0.16900635
1515642480972,-0.8039856,4.8717804,9.040085,0.049697876,0.22703552,0.44267273
1515642481075,-0.87815857,5.2211456,10.133606,0.06436157,0.37609863,0.6356964
1515642481178,-0.13877869,4.268799,9.7986145,0.30747986,1.0419464,0.7089844
1515642481280,-0.46420288,2.9001007,8.965912,0.12667847,0.23191833,0.71266174
1515642481381,-0.40678406,2.2947235,9.300903,-0.08711243,-0.09913635,0.9423523
1515642481485,0.44267273,3.596405,7.6378937,0.021606445,0.031585693,0.79696655
1515642481588,0.33259583,3.929016,8.6237335,0.048477173,0.08288574,0.3046112
1515642481690,1.0097656,4.627716,10.516449,-0.049240112,-0.111343384,-0.18649292
1515642481794,0.928421,4.9292145,10.279572,-0.4756317,-0.5181885,-0.50660706
1515642481897,-0.48095703,3.3356018,8.152344,0.29405212,-0.084472656,0.23986816
1515642482000,1.2346954,3.4169464,7.278961,0.046035767,0.026687622,-0.05822754
1515642482107,0.73220825,3.5030975,6.6640167,0.061920166,0.13908386,0.14334106
1515642482209,0.17706299,3.7926178,8.059021,-0.17630005,0.0132751465,-0.07044983
1515642482313,-0.21774292,4.9459686,8.772095,-0.01626587,0.43595886,0.074920654
1515642482417,-1.2945099,5.1469574,9.121445,0.060699463,0.54959106,0.34858704
1515642482521,-0.47138977,3.9888306,9.789032,0.17553711,0.51782227,0.5733948
1515642482625,-0.6125641,2.7756805,8.011169,0.20118713,0.3284607,0.5831604
1515642482729,0.011962891,2.7756805,9.176468,-0.066345215,0.13542175,0.5648346
1515642482831,-0.29431152,3.4145508,8.429916,-0.210495,0.112213135,0.34980774
1515642482934,0.25602722,4.771286,8.408386,-0.14697266,0.103652954,0.11401367
1515642483038,0.8949127,5.161316,11.430511,-0.07246399,-0.66355896,-0.19017029
1515642483145,-0.0143585205,2.9168549,12.464218,-0.43530273,0.42495728,-0.47972107
1515642483247,1.6678009,4.0821533,7.1569366,0.495636,-0.36180115,-0.032577515
1515642483351,0.37806702,2.835495,9.669403,-0.20805359,-0.2445221,-0.36120605
1515642483458,0.04307556,3.5748749,7.133011,-0.050460815,0.06455994,-0.060668945
1515642483561,-0.105285645,4.3836517,8.128418,-0.09199524,-0.014846802,0.16288757
1515642483666,-0.04067993,5.268997,9.997208,0.1376648,0.622879,0.2679596
1515642483768,0.009567261,5.345566,9.707687,-0.20440674,-0.21032715,0.26672363
1515642483871,-0.87098694,3.5820618,8.465805,0.25128174,0.6131134,0.5391846
1515642483980,-0.59820557,2.7924194,6.795624,0.08024597,0.08532715,0.69921875
1515642484084,-0.088531494,3.2686005,8.035095,-0.0016174316,0.06211853,0.5587158
1515642484186,0.38285828,4.003189,7.860428,-0.061462402,-0.016052246,0.23495483
1515642484292,1.2466583,4.9387817,9.363113,-0.10543823,-0.104019165,-0.31967163
1515642484394,0.59580994,4.9914246,8.429916,-0.04069519,0.18429565,-0.5799103
1515642484495,-0.16270447,3.4528503,9.669403,0.105911255,0.11831665,-0.5457001
1515642484597,2.1750793,3.2973022,9.221939,0.37713623,-0.08203125,-0.44062805
1515642484701,0.40678406,2.945572,7.2933197,0.11079407,-0.16999817,-0.40641785
