time,accel x,accel y,accel z,gyro y,gyro x,gyro z
1515654184325,1.241272,7.148819,3.2238464,0.52168274,0.7831726,1.0742645
1515654184427,7.684082,7.682724,5.3786316,0.38853455,0.92910767,0.6971741
1515654184530,5.886032,5.0754395,4.5670013,0.36721802,0.8076782,1.0348511
1515654184632,0.8869324,23.019989,1.3013,0.5824127,1.4553528,-0.27116394
1515654184734,-1.3205109,15.085602,1.9309845,1.1555176,0.66600037,-0.768631
1515654184837,-0.76026917,8.827164,2.079422,1.5635223,0.3751831,-0.8112488
1515654184939,2.9674988,8.353104,1.0235748,0.9009247,0.13868713,-0.45544434
1515654185041,2.3689423,8.726608,0.80570984,0.77841187,0.24841309,-0.19659424
1515654185143,1.2747955,9.478378,0.59262085,0.8689575,0.15040588,-0.37875366
1515654185245,2.067276,9.186295,0.9493561,0.3544464,-0.51005554,-0.43307495
1515654185348,1.9260254,8.863068,0.7051544,0.05935669,-0.40246582,-0.7132416
1515654185450,-0.30776978,14.029755,-3.276413,-0.10255432,1.1656036,0.5906372
1515654185553,2.5341492,8.286072,0.89907837,-1.1273346,0.28675842,0.8931732
1515654185655,-0.3221283,8.77449,2.8695068,-1.0335999,0.6074066,0.66308594
1515654185758,0.9324341,8.166351,2.680359,-0.5180054,0.44548035,0.92300415
1515654185859,3.0991821,8.79364,3.2214508,-0.06100464,1.1805115,1.1317902
1515654185960,3.166214,7.294861,4.00914,0.252182,1.0324402,0.8612213
1515654186062,3.9491272,6.5789948,5.143997,0.38639832,1.0473633,0.92726135
1515654186164,5.7495575,5.7793427,5.043442,0.8039856,1.504364,0.6428375
1515654186266,-2.5702972,18.791824,1.7154999,1.1906738,-1.5146027,1.9073029
1515654186368,2.6945648,17.43431,-4.6147614,1.8926849,0.98023987,0.47772217
1515654186470,-2.9916687,10.728149,-2.8167267,1.1491241,0.6713257,-0.7132416
1515654186573,4.131073,8.264526,2.558258,0.7294159,-0.26185608,-0.559845
1515654186676,1.8709564,9.100098,1.2246857,0.7336731,-0.23309326,-0.45544434
1515654186778,2.3234558,9.308395,0.25743103,0.48866272,0.027893066,-0.50445557
1515654186882,4.303467,9.36824,0.3986969,0.072143555,-0.6304321,-0.66529846
1515654186985,0.76483154,15.121521,-2.3737946,-0.010940552,1.5171356,1.3288727
1515654187087,-1.5479584,7.7090607,3.6715698,-2.2991333,-0.3428192,1.0508423
1515654187191,4.3728943,8.563797,4.3395386,-0.655426,0.979187,1.1019745
1515654187294,1.4376068,7.761734,1.6005859,0.40344238,1.5267334,1.0774689
1515654187397,4.0999603,9.432892,1.6604309,1.2109222,1.7973022,0.6843872
